==48288== NVPROF is profiling process 48288, command: ./bin/spmv -m ./res/mesh1e1.mtx --spmv-i 1 --no-jacobi --prof
==48288== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==48288== Profiling application: ./bin/spmv -m ./res/mesh1e1.mtx --spmv-i 1 --no-jacobi --prof
==48288== Profiling result:
==48288== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA GeForce 940M (0)"
    Kernel: kernel_spmv_CSR_vector_Mixed(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                           l2_tex_hit_rate                                                     L2 Cache Hit Rate      74.36%      74.36%      74.36%
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                          ecc_transactions                                                      ECC Transactions           0           0           0
          1                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.346854    0.346854    0.346854
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)         420         420         420
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)          48          48          48
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       1.18%       1.18%       1.18%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.50%       0.50%       0.50%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.51%       0.51%       0.51%
    Kernel: void kernel_spmv_CSR_vector_CUSP<float, float>(unsigned int, float const *, float const *, int const *, int const *, float*)
          1                             sm_efficiency                                               Multiprocessor Activity      48.15%      48.15%      48.15%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.248279    0.248279    0.248279
          1                                       ipc                                                          Executed IPC    0.288688    0.288688    0.288688
          1                                issued_ipc                                                            Issued IPC    0.300810    0.300810    0.300810
          1                             inst_per_warp                                                 Instructions per warp   89.000000   89.000000   89.000000
          1                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      68.32%      68.32%      68.32%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      59.06%      59.06%      59.06%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.042837    0.042837    0.042837
