==86805== NVPROF is profiling process 86805, command: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==86805== Profiling application: ./bin/spmv -m ./res/pwtk.mtx --prof --opt 1 --dd-p 99
==86805== Profiling result:
==86805== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM3-32GB (0)"
    Kernel: void kernel_spmv_CSR_vector_Mixed_Entrywise_Split<unsigned int=32>(unsigned int, float const *, float const *, int const *, int const *, double const *, double const *, int const *, int const *, double*)
          1                         branch_efficiency                                                Branch Efficiency      77.32%      77.32%      77.32%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      94.78%      94.78%      94.78%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      90.14%      90.14%      90.14%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.007236    0.007236    0.007236
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    2.144179    2.144179    2.144179
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    1.907784    1.907784    1.907784
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    3.884648    3.884648    3.884648
          1              gst_transactions_per_request                            Global Store Transactions Per Request    1.000000    1.000000    1.000000
          1                 shared_store_transactions                                        Shared Store Transactions     2910183     2910183     2910183
          1                  shared_load_transactions                                         Shared Load Transactions     3738042     3738042     3738042
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions     9060480     9060480     9060480
          1                          gst_transactions                                        Global Store Transactions      217918      217918      217918
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions     5446772     5446772     5446772
          1                     l2_write_transactions                                            L2 Write Transactions      224065      224065      224065
          1                    dram_read_transactions                                  Device Memory Read Transactions     4449366     4449366     4449366
          1                   dram_write_transactions                                 Device Memory Write Transactions      110261      110261      110261
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      41.18%      41.18%      41.18%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  1019.4GB/s  1019.4GB/s  1019.4GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  7.5810GB/s  7.5810GB/s  7.5810GB/s
          1                            gld_throughput                                           Global Load Throughput  1260.8GB/s  1260.8GB/s  1260.8GB/s
          1                            gst_throughput                                          Global Store Throughput  30.324GB/s  30.324GB/s  30.324GB/s
          1                     local_memory_overhead                                            Local Memory Overhead       3.67%       3.67%       3.67%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate      39.23%      39.23%      39.23%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      25.79%      25.79%      25.79%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      93.96%      93.96%      93.96%
          1                      dram_read_throughput                                    Device Memory Read Throughput  619.15GB/s  619.15GB/s  619.15GB/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  15.343GB/s  15.343GB/s  15.343GB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  3613.0GB/s  3613.0GB/s  3613.0GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  757.72GB/s  757.72GB/s  757.72GB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  30.324GB/s  30.324GB/s  30.324GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  757.94GB/s  757.94GB/s  757.94GB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  31.180GB/s  31.180GB/s  31.180GB/s
          1                    sysmem_read_throughput                                    System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                   System Memory Write Throughput  729.57KB/s  729.57KB/s  729.56KB/s
          1                     local_load_throughput                                     Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    local_store_throughput                                    Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                    shared_load_throughput                                    Shared Memory Load Throughput  2080.7GB/s  2080.7GB/s  2080.7GB/s
          1                   shared_store_throughput                                   Shared Memory Store Throughput  1619.9GB/s  1619.9GB/s  1619.9GB/s
