matrix,nnz,rows,cols,sym,type,range-a-p,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-prc,ent-prc,row-prc-a-p,row-prc-a-n,row-prc-f-p,row-prc-f-n,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt-a-p,row-split-rt-a-n,row-split-rt-f-p,row-split-rt-f-n,row-comp-rt-a-p,row-dual-rt-a-p,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup-a-p,row-split-spup-a-n,row-split-spup-f-p,row-split-spup-f-n,row-comp-spup-a-p,row-dual-spup-a-p,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr-a-p,row-split-relerr-a-n,row-split-relerr-f-p,row-split-relerr-f-n,row-comp-relerr-a-p,row-dual-relerr-a-p,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr
mult_dcop_02,193276,25187,25187,0,r,0.002717,0,7.673641,1,22767,99.556,99.098,96.978,76.022,99.67200000000001,78.238,462.543823,475.432617,478.782471,478.460297,471.045502,474.601929,471.862701,472.184753,476.995087,476.176514,0.97289,0.966083,0.966734,0.981951,0.974593,0.980251,0.979582,0.969704,0.971371,0.0,8.02567e-08,1.1453e-10,7.01033e-12,6.7383e-08,5.03041e-12,7.50605e-08,1.12639e-10,6.7383e-08,6.7383e-08,441.805481,1.04694,1.22895e-07
rajat21,1893370,411676,411676,0,r,0.321819,0,4.599175,1,118689,81.889,58.547000000000004,24.258,15.575,61.345000000000006,52.878,4681.974609,4257.179199,4770.777344,4850.955566,4751.729492,4831.625,4687.642578,4568.143555,4760.633301,4903.102051,1.099783,0.981386,0.965165,0.98532,0.969027,0.998791,1.024918,0.983477,0.954901,0.0,4.18794e-08,1.22507e-10,3.44889e-11,2.41863e-09,2.89363e-11,2.42381e-09,1.05652e-10,2.41863e-09,2.41863e-09,4116.222656,1.137444,2.23402e-07
trans4,766396,116835,116835,0,r,0.159118,0,6.559644,1,114190,89.79,88.066,41.062,40.424,48.315000000000005,46.729,3910.566162,3652.876953,3942.513916,3995.047119,3722.439209,3789.044678,3766.14209,3769.055664,3738.936523,4095.814941,1.070544,0.991897,0.978854,1.050539,1.032072,1.038348,1.037545,1.045903,0.954771,0.0,1.83968e-08,1.51478e-10,6.42697e-12,1.14953e-09,2.25593e-12,1.16014e-09,1.21402e-10,1.14953e-09,1.14953e-09,3482.060059,1.123061,8.97214e-07
rajat17,641159,94294,94294,0,r,0.007379,0,6.799574,1,28755,98.095,92.062,85.617,76.41799999999999,96.72,86.768,925.10144,893.597839,930.091187,957.024048,896.392822,1205.287598,823.344971,1204.054932,895.601624,924.077209,1.035255,0.994635,0.966644,1.032027,0.767536,1.123589,0.768322,1.032939,1.001108,0.0,1.42595e-08,1.81824e-10,2.14505e-12,7.72826e-09,1.63143e-12,7.79302e-09,1.57813e-10,7.72826e-09,7.72826e-09,573.633606,1.612704,1.77702e-08
rajat18,485143,94294,94294,0,r,0.009752,0,5.145004,1,28747,97.482,91.235,84.727,74.027,96.258,83.551,906.537415,598.165466,694.603149,747.746399,612.337036,1119.775024,599.563477,1001.059692,622.487183,862.602234,1.51553,1.305116,1.212359,1.480455,0.809571,1.511996,0.905578,1.456315,1.050933,0.0,1.86601e-08,1.9567e-10,4.68786e-12,1.45326e-08,3.99355e-12,1.45987e-08,1.72628e-10,1.45326e-08,1.45326e-08,563.218384,1.609566,2.04563e-08
bloweybl,120000,30003,30003,1,r,0.083493,0,3.9996,1,10001,33.338,33.335,16.667,16.667,16.667,16.667,390.971008,399.955444,388.096741,387.879395,398.033722,398.030548,398.033539,398.034088,398.965912,399.090393,0.977536,1.007406,1.007971,0.982256,0.982264,0.982256,0.982255,0.979961,0.979655,0.0,2.7593e-08,2.49357e-10,2.4927e-10,1.0726e-16,1.0726e-16,1.0726e-16,1.0726e-16,1.0726e-16,1.0726e-16,374.242279,1.0447,2.36247e-07
rajat29,4866270,643994,643994,0,r,0.002731,0,7.55639,1,454521,99.224,98.849,98.271,78.069,99.401,78.81899999999999,16699.771484,16233.412109,16823.482422,16742.445312,16063.929688,19616.951172,16000.96582,19608.955078,16328.691406,16489.699219,1.028728,0.992647,0.997451,1.039582,0.851293,1.043673,0.85164,1.022726,1.01274,0.0,3.75517e-08,2.50092e-10,1.55805e-12,3.33352e-08,1.18305e-12,3.33401e-08,1.88632e-10,3.33352e-08,3.33352e-08,16026.858398,1.041987,4.64244e-08
rajat16,641159,94294,94294,0,r,0.007545,0,6.799574,1,28755,98.09400000000001,87.901,73.33800000000001,41.081,96.708,86.702,925.786438,892.873779,929.605835,956.307739,1016.473389,960.248474,798.63678,1217.58606,1012.177917,1028.048096,1.036861,0.995891,0.968084,0.910783,0.964111,1.159208,0.760346,0.914648,0.900528,0.0,3.38605e-08,2.88466e-10,1.14969e-11,1.67972e-08,8.35114e-12,1.69355e-08,2.54327e-10,1.67972e-08,1.67972e-08,573.619385,1.613939,4.59447e-08
trans5,766396,116835,116835,0,r,0.138055,0,6.559644,1,114190,91.88199999999999,88.548,43.201,41.827,54.055,52.300000000000004,3910.686768,3652.830078,3965.604004,3975.295898,3759.522705,3795.420166,3822.548584,3788.699219,3809.320312,4101.428711,1.070591,0.986152,0.983747,1.040208,1.03037,1.023057,1.032198,1.02661,0.953494,0.0,2.83505e-08,3.37016e-10,3.09025e-11,2.95184e-09,2.28836e-11,3.02631e-09,2.41168e-10,2.95184e-09,2.95184e-09,3481.977051,1.123122,2.34134e-07
shermanACb,145149,18510,18510,0,r,0.025037,0,7.841653,1,10405,89.655,83.231,61.185,41.035,76.40400000000001,52.549,207.817947,208.480225,212.998245,214.559357,208.840347,218.600739,225.344452,227.031906,210.447327,212.1689,0.996823,0.975679,0.96858,0.995104,0.950674,0.922223,0.915369,0.987506,0.979493,0.0,2.80313e-08,4.98509e-10,3.08169e-11,8.10813e-10,1.53837e-11,1.10215e-09,3.39896e-10,8.10813e-10,8.10813e-10,195.616058,1.062377,8.61193e-08
SiO2,11283503,155331,155331,1,r,0.31934,0,72.641668,15,2749,82.663,74.959,50.864,0.0,50.864,0.0,373.313782,290.036346,326.161011,330.270966,328.398499,375.830902,328.476501,375.871155,326.611816,329.947296,1.287128,1.144569,1.130326,1.136771,0.993303,1.136501,0.993196,1.142989,1.131435,0.0,4.10455e-08,5.86292e-10,8.23841e-11,5.05222e-09,0.0,5.05222e-09,0.0,5.05222e-09,5.05222e-09,278.304382,1.341387,7.05973e-08
mult_dcop_01,193276,25187,25187,0,r,0.000275,0,7.673641,1,22767,99.727,99.636,100.0,78.476,100.0,78.77300000000001,462.526367,475.575928,478.356659,479.293579,472.879242,472.002289,472.882812,474.707581,477.791626,475.824005,0.972561,0.966907,0.965017,0.978107,0.979924,0.978099,0.97434,0.96805,0.972053,0.0,2.74599e-08,6.35113e-10,2.62391e-11,2.74599e-08,2.52389e-11,2.74599e-08,2.75439e-11,2.74599e-08,2.74599e-08,441.769531,1.046986,4.31298e-08
mult_dcop_03,193216,25187,25187,0,r,0.000446,0,7.671259,1,22767,99.69200000000001,76.883,38.705,28.360000000000003,100.0,78.66300000000001,462.849609,474.563171,480.044342,472.654785,474.223419,471.158691,472.398956,472.206329,473.307587,473.278107,0.975317,0.964181,0.979255,0.976016,0.982365,0.979785,0.980185,0.977904,0.977965,0.0,3.28247e-08,9.69403e-10,3.52087e-11,1.35403e-08,2.11376e-11,3.28247e-08,9.15454e-10,1.35403e-08,1.35403e-08,441.587616,1.048149,8.50964e-08
